Original	Simplified	G	S	M	Overall
he access to the Piccadilly and Victoria line platforms is by staircase only, reached via two narrow passages that physically prevent the installation of automatic ticket barriers - remarkable, considering its Zone 2 location.	The access to the Piccadilly and Victoria line platforms is by staircase only, reached via two narrow passages that physically prevent the installation of automatic ticket barriers - remarkable, considering its Zone 2 location.	good	bad	good	bad
he access to the Piccadilly and Victoria line platforms is by staircase only, reached via two narrow passages that physically prevent the installation of automatic ticket barriers - remarkable, considering its Zone 2 location.	The access to the Piccadilly and Victoria line platforms is by staircase only, reached via two narrow passages that physically prevent the installation of automatic ticket barriers - remarkable, considering its Zone 2 location.	good	bad	good	bad
Her mother wanted her to leave school and marry, but she rebelled.	Her mother wanted her to leave school and marry, but she did not.	good	good	good	good
Her mother wanted her to leave school and marry, but she rebelled.	Her mother wanted her to leave school and marry, but she forced.	bad	good	bad	bad
Her mother wanted her to leave school and marry, but she rebelled.	Her mother wanted her to leave school and marry, but she rebelled.	good	good	good	good
Her show sometimes featured as many as 40 troupers and made her the highest-paid black entertainer of her day.	Her show sometimes featured as many as 40 troupers and made her the highest-paid black entertainer of her day.	good	ok	good	ok
Her show sometimes featured as many as 40 troupers and made her the highest-paid black entertainer of her day.	Her show sometimes featured as many as 40 troupers and made her the highest-paid black singer of her day.	good	good	good	good
Her show sometimes featured as many as 40 troupers and made her the highest-paid black entertainer of her day.	She ran a show that sometimes had as many as 40 people and made her the highest-paid black entertainer of her day.	good	good	good	good
Hitler sent an ultimatum to Schuschnigg on 11 March, demanding that he hand over all power to the Austrian National Socialists or face an invasion.	Hitler sent an deadline to Schuschnigg on 11 March, demanding that he hand over all power to the Austrian National Socialists or face an invasion.	good	ok	good	ok
Hitler sent an ultimatum to Schuschnigg on 11 March, demanding that he hand over all power to the Austrian National Socialists or face an invasion.	Hitler sent an ultimatum to Schuschnigg on 11 March, demanding that he hand over all power to the Austrian National Socialists or face an invasion.	good	ok	good	ok
Hitler sent an ultimatum to Schuschnigg on 11 March, demanding that he hand over all power to the Austrian National Socialists or face an invasion.	Hitler sent an ultimatum to Schuschnigg on 11 March, saying that he must hand over all power to the Austrian Nazis or face an invasion.	good	ok	good	ok
HMS Guardian set out before the convict ships but struck ice after leaving the Cape of Good Hope, returned to southern Africa and was wrecked on the coast.	HMS Guardian set out before the convict ships but struck ice after leaving the Cape of Good Hope, returned to southern Africa and was destroyed on the coast.	good	good	good	good
HMS Guardian set out before the convict ships but struck ice after leaving the Cape of Good Hope, returned to southern Africa and was wrecked on the coast.	HMS Guardian set out before the convict ships but struck ice after leaving the Cape of Good Hope, returned to southern Africa and was wrecked on the coast.	good	ok	good	ok
HMS Guardian set out before the convict ships but struck ice after leaving the Cape of Good Hope, returned to southern Africa and was wrecked on the coast.	HMS Guardian set out before the convict ships but struck ice after leaving the Cape of Good Hope, went back to southern Africa and was wrecked on the coast.	good	good	good	good
Hubble Space Telescope observations of Hektor in 1993 did not show an obvious bilobated shape because of a limited angular resolution.	Hubble Space Telescope findings of Hektor in 1993 did not show an obvious bilobated shape because of a limited angular resolution.	good	ok	good	ok
Hubble Space Telescope observations of Hektor in 1993 did not show an obvious bilobated shape because of a limited angular resolution.	Hubble Space Telescope observations of Hektor in 1993 did not show an obvious bilobated shape because of a limited angular resolution.	good	bad	good	bad
Hubble Space Telescope observations of Hektor in 1993 did not show an obvious bilobated shape because of a limited angular resolution.	Hubble Space Telescope sightings of Hektor in 1993 did not show an obvious stretched shape because of a limited angular resolution.	good	ok	ok	ok
In 1828, Coenraad Johannes van Houten developed the first cocoa powder producing machine in the Netherlands.	In 1828, Coenraad Johannes van Houten developed the first cocoa powder producing machine in the Netherlands.	good	good	good	good
In 1828, Coenraad Johannes van Houten developed the first cocoa powder producing machine in the Netherlands.	In 1828, Coenraad Johannes van Houten developed the first sugar powder producing machine in the Netherlands.	good	good	ok	ok
In 1828, Coenraad Johannes van Houten developed the first cocoa powder producing machine in the Netherlands.	In 1828, Coenraad Johannes van Houten made the first cocoa powder making machine in the Netherlands.	good	good	good	good
In 1927 tourism had grown to the point where the area's name was reverted to Port Arthur.	In 1927 tourism had grown so much the area's name was changed back to Port Arthur.	good	good	good	good
In 1927 tourism had grown to the point where the area's name was reverted to Port Arthur.	In 1927 tourism had grown to the point where the area's name was reverted to Port Arthur.	good	good	good	good
In 1927 tourism had grown to the point where the area's name was reverted to Port Arthur.	In 1927 tourism had grown to the point where the area 's name was reverted to Port Arthur.	good	good	good	good
In 1939, the town, along with the rest of Western Ukraine, was invaded by the Soviet Union.	In 1939, the town, along with the rest of Western Ukraine, was attacked by the Soviet Union.	good	good	good	good
In 1939, the town, along with the rest of Western Ukraine, was invaded by the Soviet Union.	In 1939, the town, along with the rest of Western Ukraine, was occupied by the Soviet Union.	good	good	good	good
In 1939, the town, along with the rest of Western Ukraine, was invaded by the Soviet Union.	In 1940, the town, along with the rest of Western Ukraine, became part of the Soviet Union.	good	good	ok	ok
In a study performed at Birmingham University, it was shown that average fat oxidation rates were 17% higher after ingestion of green tea Extract than after ingestion of a placebo.	In a study performed at Birmingham University, it was shown that average fat oxidation rates were 17% higher after drinking of green tea extract than after a placebo was used.	good	good	good	good
In a study performed at Birmingham University, it was shown that average fat oxidation rates were 17% higher after ingestion of green tea Extract than after ingestion of a placebo.	In a study performed at Birmingham University, it was shown that average fat oxidation rates were 17% higher after ingestion of color tea Extract than after ingestion of a placebo.	good	ok	good	ok
In a study performed at Birmingham University, it was shown that average fat oxidation rates were 17% higher after ingestion of green tea Extract than after ingestion of a placebo.	In a study performed at Birmingham University, it was shown that average fat oxidation rates were 17% higher after toxicity of green coffee Extract than after toxicity of a placebo.	ok	bad	ok	bad
In January 1993, Brown was selected by President Bill Clinton to the post of Secretary of Veterans Affairs, serving until 1997.	In January 1993, Brown was picked by President Bill Clinton to the position of Secretary of Veterans Affairs, serving until 1997.	good	good	good	good
In January 1993, Brown was selected by President Bill Clinton to the post of Secretary of Veterans Affairs, serving until 1997.	In January 1993, Brown was selected by President Bill Clinton to the post of Secretary of Veterans Affairs, serving until 1997.	good	good	good	good
In January 1993, Brown was selected by President Bill Clinton to the post of Secretary of Veterans Affairs, serving until 1997.	In January 1993, Brown was selected by President Bill Clinton to the post of Secretary of Veterans Affairs, serving until 1997.	good	good	good	good
In the early 1980s, the Popes retired and transferred the park to their son, Dick Pope, Jr.	In the early 1980s, the Popes decided and transferred the park to their son, Dick Pope, Jr.	good	good	good	good
In the early 1980s, the Popes retired and transferred the park to their son, Dick Pope, Jr.	In the early 1980s, the Popes retired and gave the park to their son, Dick Pope Jr.	good	good	good	good
In the early 1980s, the Popes retired and transferred the park to their son, Dick Pope, Jr.	In the early 1980s, the Popes retired and transferred the park to their son, Dick Pope, Jr.	good	good	good	good
It also occurs as a vein mineral in deposits from hot springs, and it occurs in caverns as stalactites and stalagmites.	It also occurs as a vein mineral in deposits from hot springs, and it occurs in caverns as stalactites and stalagmites.	good	bad	good	bad
It also occurs as a vein mineral in deposits from hot springs, and it occurs in caverns as stalactites and stalagmites.	It also occurs as a vein natural in banks from hot springs, and it occurs in caverns as stalactites and stalagmites.	good	ok	ok	ok
It also occurs as a vein mineral in deposits from hot springs, and it occurs in caverns as stalactites and stalagmites.	One can find it as a vein mineral in deposits from hot springs, and in caverns as stalactites and stalagmites.	good	good	good	good
It was discovered by Brett Gladman, Kavelaars, et al. in 2000, and given the temporary designation S/2000 S 8.	It was discovered by Brett Gladman, Kavelaars, et al. in 2000, and given the temporary designation S\/2000 S 8.	good	ok	good	ok
It was discovered by Brett Gladman, Kavelaars, et al. in 2000, and given the temporary designation S/2000 S 8.	It was found by Brett Gladman, Kavelaars, et al. in 2000, and given the designation S/2000 S 8.	good	good	good	good
It was discovered by Brett Gladman, Kavelaars, et al. in 2000, and given the temporary designation S/2000 S 8.	It was found by Brett Gladman, Kavelaars, et al. in 2000, and given the temporary designation S/2000 S 8.	good	good	good	good
It was eventually certified gold by the RIAA in 2008.	It was eventually certified gold by the RIAA in 2008.	good	good	good	good
It was eventually certified gold by the RIAA in 2008.	It was eventually certified gold by the RIAA in 2008.	good	good	good	good
It was eventually certified gold by the RIAA in 2008.	It was then awarded gold by the RIAA in 2008.	good	good	good	good
It was filmed in 2003 and debuted in the United States on CBS on September 18, 2003.	It was filmed in 2003 and debuted in the United States on CBS on September 18, 2003.	good	good	good	good
It was filmed in 2003 and debuted in the United States on CBS on September 18, 2003.	It was filmed in 2003 and debuted in the United States on CBS on September 18, 2003.	good	good	good	good
It was filmed in 2003 and debuted in the United States on CBS on September 18, 2003.	It was filmed in 2003 and started being shown on TV on September 18, 2003.	good	good	good	good
Keeping articles with potential encourages editors, especially unregistered users, to be bold and improve the article to allow it to evolve over time	Keeping articles with potential editors, especially unregistered users, to be bold and improve the article to allow it to evolve over time.	bad	ok	bad	bad
Keeping articles with potential encourages editors, especially unregistered users, to be bold and improve the article to allow it to evolve over time	Keeping articles with potential encourages editors, especially unregistered users, to be bold and improve the article to allow it to emerge over time.	good	ok	good	ok
Keeping articles with potential encourages editors, especially unregistered users, to be bold and improve the article to allow it to evolve over time	Keeping articles with potential encourages editors, especially unregistered users, to be bold and improve the article to allow it to evolve over time.	good	ok	good	ok
Manchester has formal twinning arrangements with several places.	Manchester has formal twinning arrangements with several places.	good	ok	good	ok
Manchester has formal twinning arrangements with several places.	Manchester has official twinning arrangements with several places.	good	good	good	good
Manchester has formal twinning arrangements with several places.	Manchester has twinning plans with lots of places.	good	good	good	good
Marc Overmars is a Dutch unattached football player.	Marc Overmars is a Dutch unattached football player.	good	good	good	good
Marc Overmars is a Dutch unattached football player.	Marc Overmars is a Dutch unattached football player.	good	good	good	good
Marc Overmars is a Dutch unattached football player.	Marc Overmars is a former Dutch football player.	good	good	ok	ok
Mary endowed the College of William and Mary in 1693.	Mary endowed the College of William and Mary in 1693.	good	good	good	good
Mary endowed the College of William and Mary in 1693.	Mary endowed the College of William and Mary in 1693.	good	good	good	good
Mary endowed the College of William and Mary in 1693.	Mary gave money to the College of William and Mary in 1693.	good	good	good	good
Möbius strips are common in the manufacture of fabric computer printer and typewriter ribbons.	M bius strips are common in the manufacture of cloth computer printer and typewriter ribbons.	good	ok	good	ok
Möbius strips are common in the manufacture of fabric computer printer and typewriter ribbons.	Möbius israeli are common in the product of cloth computer printing and typewriter banners.	good	ok	bad	bad
Möbius strips are common in the manufacture of fabric computer printer and typewriter ribbons.	Möbius strips are common in the making of fabric computer printer and typewriter ribbons.	good	good	good	good
Notable mosque types include the early Abbasid mosques, T-type mosques, and the central-dome mosques of Anatolia.	Important mosque types include the early Abbasid mosques, T-type mosques, and the central-dome mosques of Anatolia.	good	good	good	good
Notable mosque types include the early Abbasid mosques, T-type mosques, and the central-dome mosques of Anatolia.	Notable mosque types include the early Abbasid mosques, T-type mosques, and the central-dome mosques of Anatolia.	good	ok	good	ok
Notable mosque types include the early Abbasid mosques, T-type mosques, and the central-dome mosques of Anatolia.	Notable shrine types include the early Abbasid churches, T-type churches, and the central-dome churches of Anatolia.	good	good	good	good
On May 4, 2007, John LeCompt announced that he had been fired from Evanescence, and also stated that drummer Rocky Gray had decided to quit.	On May 4, 2007, John LeCompt announced that he had been fired from Evanescence, and also stated that drummer Rocky Gray had decided to quit.	good	ok	good	ok
On May 4, 2007, John LeCompt announced that he had been fired from Evanescence, and also stated that drummer Rocky Gray had decided to quit.	On May 4, 2007, John LeCompt proposed that he had been fired from Evanescence, and also stated that band Rocky Gray had decided to quit.	good	good	good	good
On May 4, 2007, John LeCompt announced that he had been fired from Evanescence, and also stated that drummer Rocky Gray had decided to quit.	On May 4, 2007, John LeCompt said that he was fired from Evanescence, and that Rocky Gray left the band.	good	good	good	good
On September 23 the area of low pressure moved over the Yucatán Peninsula and was producing thunderstorms from the southern Gulf of Mexico to the northwestern Caribbean Sea.	On September 23 the area of low pressure moved over the Yucatan Peninsula and was creating thunderstorms from the southern Gulf of Mexico to the northwestern Caribbean Sea.	good	ok	good	ok
On September 23 the area of low pressure moved over the Yucatán Peninsula and was producing thunderstorms from the southern Gulf of Mexico to the northwestern Caribbean Sea.	On September 23 the area of low pressure moved over the Yucatán Peninsula and was producing winds from the southern Gulf of Mexico to the northwestern Caribbean Sea.	good	good	good	good
On September 23 the area of low pressure moved over the Yucatán Peninsula and was producing thunderstorms from the southern Gulf of Mexico to the northwestern Caribbean Sea.	On September 23 the area of low pressure moved over the Yucat n Peninsula and was producing storms from the southern Gulf of Mexico to the northwestern Caribbean Sea.	good	ok	good	ok
Ophiuroids are generally scavengers or detritivores.	Ophiuroids are generally scavengers or detritivores.	good	good	good	good
Ophiuroids are generally scavengers or detritivores.	Ophiuroids are generally scavengers or detritivores.	good	good	good	good
Ophiuroids are generally scavengers or detritivores.	Ophiuroids in general are mostly scavengers or detritivores.	good	good	good	good
Oscar Ribeiro de Almeida Niemeyer Soares Filho is a Brazilian architect who is considered one of the most important names in international modern architecture.	Oscar Ribeiro de Almeida Niemeyer Soares Filho is a Brazilian architect who is considered one of the most important names in international modern architecture.	good	ok	good	ok
Oscar Ribeiro de Almeida Niemeyer Soares Filho is a Brazilian architect who is considered one of the most important names in international modern architecture.	Oscar Ribeiro de Almeida Niemeyer Soares Filho is a Brazilian architect who is considered one of the most important names in international modern architecture.	good	ok	good	ok
Oscar Ribeiro de Almeida Niemeyer Soares Filho is a Brazilian architect who is considered one of the most important names in international modern architecture.	Oscar Ribeiro de Almeida Niemeyer Soares Filho is a Brazilian architect who is thought to be a very important name in worldwide modern architecture.	good	good	good	good
Pauling was among the first scientists to work in the fields of quantum chemistry, molecular biology, and orthomolecular medicine.	Pauling was among the first authors to work in the fields of mathematical chemistry, molecular biology, and allopathic medicine.	good	good	ok	ok
Pauling was among the first scientists to work in the fields of quantum chemistry, molecular biology, and orthomolecular medicine.	Pauling was among the first scientists to work in the fields of quantum chemistry, molecular biology, and orthomolecular medicine.	good	ok	good	ok
Pauling was among the first scientists to work in the fields of quantum chemistry, molecular biology, and orthomolecular medicine.	Pauling was one the first scientists to work in the fields of quantum chemistry, molecular biology and orthomolecular medicine.	good	ok	good	ok
Pop rock is a mix of pop music and rock music utilizing a catchy pop style with light lyrics, and guitar-based songs.	Pop rock is a mix of pop music and rock music using a melodic pop style with light lyrics, and rootsy songs.	good	good	ok	ok
Pop rock is a mix of pop music and rock music utilizing a catchy pop style with light lyrics, and guitar-based songs.	Pop rock is a mix of pop music and rock music utilizing a catchy pop style with light lyrics, and guitar-based songs.	good	bad	good	bad
Pop rock is a mix of pop music and rock music utilizing a catchy pop style with light lyrics, and guitar-based songs.	Pop rock is a subgenre of pop music and rock music that uses catchy pop style, with light lyrics over top of guitar-based songs.	good	ok	good	ok
Porcupines are the third largest of the rodents, behind the capybara and the beaver.	Porcupines are the third largest of the rodents, behind the capybara and the beaver.	good	ok	good	ok
Porcupines are the third largest of the rodents, behind the capybara and the beaver.	raccoons are the third largest of the insects, behind the capybara and the creek.	good	good	bad	bad
Porcupines are the third largest of the rodents, behind the capybara and the beaver.	The porcupines include the third biggest rodent, after the capybara, and beaver, and are not to be confused with hedgehogs.	good	bad	ok	bad
Proteus was discovered from the images taken by Voyager 2 probe during the Neptune flyby in 1989.	Proteus was discovered from the images taken by Voyager 2 probe during the Neptune flyby in 1989.	good	ok	good	ok
Proteus was discovered from the images taken by Voyager 2 probe during the Neptune flyby in 1989.	Proteus was found from the images taken by Voyager 2 investigation during the Neptune spacecraft in 1989.	good	good	good	good
Proteus was discovered from the images taken by Voyager 2 probe during the Neptune flyby in 1989.	Proteus was found from the images taken by Voyager 2 probe during the Neptune flyby in 1989.	good	ok	good	ok
RVD's title reign is not listed in the official European title history on WWE's official website, and therefore is not credited with being a Eurocontinental Champion, but is acknowledged in RVD's profile.	RVD's title reign is not listed in the official European title history on WWE's official website, and therefore he is not credited with being a Eurocontinental Champion, but is mentioned in RVD's profile.	good	ok	good	ok
RVD's title reign is not listed in the official European title history on WWE's official website, and therefore is not credited with being a Eurocontinental Champion, but is acknowledged in RVD's profile.	RVD's title reign is not listed in the official European title history on WWE's official website, and therefore is not credited with being a Eurocontinental Champion, but is acknowledged in RVD's profile.	good	bad	good	bad
RVD's title reign is not listed in the official European title history on WWE's official website, and therefore is not credited with being a Eurocontinental Champion, but is acknowledged in RVD's profile.	RVD's title reign is not listed in the official European title history on WWE's official website, and therefore is not credited with being a Eurocontinental Champion, but is noted in RVD's profile.	good	ok	good	ok
Shangrila was established in 1983 with the opening of the first Resort Hotel in Skardu, Baltistan.	Shangrila was established in 1983 with the opening of the first Resort Hotel in Skardu, Baltistan.	good	good	good	good
Shangrila was established in 1983 with the opening of the first Resort Hotel in Skardu, Baltistan.	Shangrila was established in 1983 with the opening of the first Resort Hotel in Skardu, Baltistan.	good	good	good	good
Shangrila was established in 1983 with the opening of the first Resort Hotel in Skardu, Baltistan.	Shangrila was established in 1983 with the opening of the first Resort Hotel in Skardu, Baltistan.	good	good	good	good
Slatina is a commune located in Suceava County, Romania.	Slatina is a commune found in Suceava County, Romania.	good	good	good	good
Slatina is a commune located in Suceava County, Romania.	Slatina is a commune located in Suceava County, Romania.	good	good	good	good
Slatina is a commune located in Suceava County, Romania.	Slatina is a commune located in Suceava County, Romania.	good	good	good	good
Some studio films released direct-to-video are films which have been completed but were never released.	Some studio films released direct-to-video are films which have been completed but were never released.	good	good	good	good
Some studio films released direct-to-video are films which have been completed but were never released.	Some studio films released sequel are films which have been completed but were never released.	ok	good	ok	ok
Some studio films released direct-to-video are films which have been completed but were never released.	Some studio movies released direct-to-video are movies which have been completed but were never released.	good	good	good	good
Stallone has also mentioned that he would like to adapt a Nelson DeMille novel, The Lion's Game.	Stallone has also mentioned that he would like to learn a Nelson DeMille novel, The Lion's Game.	good	good	ok	ok
Stallone has also mentioned that he would like to adapt a Nelson DeMille novel, The Lion's Game.	Stallone has also named that he would like to adapt a Nelson DeMille, The Lion's Game.	good	ok	ok	ok
Stallone has also mentioned that he would like to adapt a Nelson DeMille novel, The Lion's Game.	Stallone has also said that he wants to adapt the Nelson DeMille novel, The Lion's Game.	good	good	good	good
The action by google to not further support Forestle immediately drew international attention.	The action by google to not further support Forestle immediately drew international attention.	good	good	good	good
The action by google to not further support Forestle immediately drew international attention.	The action by google to not further support Forestle immediately drew international attention.	good	good	good	good
The action by google to not further support Forestle immediately drew international attention.	The action by google to not support Forestle any more immediately drew international attention.	good	good	good	good
The album peaked at number 10 on the U.S. Billboard 200 chart, selling 48,397 copies in its first week of release.	The album got to number 10 on the U.S. Billboard 200 chart, selling 48,397 copies in its first week of release.	good	good	good	good
The album peaked at number 10 on the U.S. Billboard 200 chart, selling 48,397 copies in its first week of release.	The album peaked at number 10 on the U.S. Billboard 200 chart, selling 48,397 copies in its first week of release.	good	ok	good	ok
The album peaked at number 10 on the U.S. Billboard 200 chart, selling 48,397 copies in its first week of release.	The album peaked at number 10 on the U.S. Billboard 200 chart, selling 48,397 copies in its first week of release.	good	ok	good	ok
The contrast between a high level of education and a low level of political rights was particularly great in Aarau, and the city refused to send troops to defend the Bernese border.	The contrast between a high level of education and a low level of political rights was particarly great in Aarau, and the city refused to send troops to defend the Bernese border.	good	ok	good	ok
The contrast between a high level of education and a low level of political rights was particularly great in Aarau, and the city refused to send troops to defend the Bernese border.	The contrast between a high level of education and a low level of political rights was particularly great in Aarau, and the city asked to send troops to protect the Bernese border.	good	good	bad	bad
The contrast between a high level of education and a low level of political rights was particularly great in Aarau, and the city refused to send troops to defend the Bernese border.	The separate between a high level of education and a low level of political rights was particularly great in Aarau, and the city refused to send troops to defend the Bernese border.	good	ok	good	ok
The episode aired on January 10, 1991.	The episode aired on January 10, 1991.	good	good	good	good
The episode aired on January 10, 1991.	The episode aired on January 10, 1991.	good	good	good	good
The episode aired on January 10, 1991.	The episode first started on January 10, 1991.	good	good	good	good
The facility's barracks were destroyed, along with fifteen huts and several other structures.	The facility's barracks were destroyed, along with 15 huts and several other buildings.	good	good	good	good
The facility's barracks were destroyed, along with fifteen huts and several other structures.	The facility's barracks were destroyed, along with fifteen huts and several other structures.	good	good	good	good
The facility's barracks were destroyed, along with fifteen huts and several other structures.	The facility's barracks were killed, along with fifteen cottages and several other structures.	good	good	ok	ok
The following night on an episode of ECW on Sci Fi, Cena showed up in the ECW locker room, where he challenged Sabu to an Extreme lumberjack match, for which Sabu accepted.	The following night on an episode of ECW on Sci Fi, Cena showed up in the ECW gym room, where he challenged Sabu to an Extreme lumberjack match, for which Sabu accepted.	good	ok	good	ok
The following night on an episode of ECW on Sci Fi, Cena showed up in the ECW locker room, where he challenged Sabu to an Extreme lumberjack match, for which Sabu accepted.	The following night on an episode of ECW on Sci Fi, Cena showed up in the ECW locker room, where he challenged Sabu to an Extreme lumberjack match, for which Sabu accepted.	good	bad	good	bad
The following night on an episode of ECW on Sci Fi, Cena showed up in the ECW locker room, where he challenged Sabu to an Extreme lumberjack match, for which Sabu accepted.	The following night on an episode of ECW on Sci-Fi, Cena went to the ECW locker room, where he challenged Sabu to an Extreme lumberjack match, which Sabu accepted.	good	ok	good	ok
The game was created by SCEI's International Production Studio 1, the same development team responsible for the cult hit Ico.	The game was created by SCEI's International Production Studio 1, the same development team responsible for the cult hit Ico.	good	good	good	good
The game was created by SCEI's International Production Studio 1, the same development team responsible for the cult hit Ico.	The game was made by SCEI's International Production Studio 1, the same videogame makers that made the game Ico.	good	good	good	good
The game was created by SCEI's International Production Studio 1, the same development team responsible for the cult hit Ico.	The play was created by SCEI's International Production Studio 1, the same development team responsible for the hit Ico.	good	good	good	good
The inauguration took place on August 13, 1876, with a performance of Das Rheingold.	The ceremony took place on August 13, 1876, with a performance of Das Rheingold.	good	good	good	good
The inauguration took place on August 13, 1876, with a performance of Das Rheingold.	The inauguration took place on August 13, 1876, with a performance of Das Rheingold.	good	ok	good	ok
The inauguration took place on August 13, 1876, with a performance of Das Rheingold.	The opening took place on August 13, 1876, with a performance of Das Rheingold.	good	good	good	good
The major cause of the increase has been immigration during droughts.	The major cause of the increase has been immigration during droughts.	good	good	good	good
The major cause of the increase has been immigration during droughts.	The major cause of the increase has been immigration during droughts.	good	good	good	good
The major cause of the increase has been immigration during droughts.	The major cause of the increase has been law during storms.	good	good	bad	bad
The novel received favorable reviews in several major newspapers.	The novel got good reviews in several large newspapers.	good	good	good	good
The novel received favorable reviews in several major newspapers.	The novel received negative reviews in several major newspapers.	good	good	bad	bad
The novel received favorable reviews in several major newspapers.	The received favorable reviews in several major newspapers.	bad	ok	ok	ok
The place where Waste was executed is now the site of a Roman Catholic church.	The place where Joan Waste was killed is now the site of a church.	good	good	good	good
The place where Waste was executed is now the site of a Roman Catholic church.	The place where Waste was executed is now the site of a Roman Catholic church.	good	good	good	good
The place where Waste was executed is now the site of a Roman Catholic church.	The place where Waste was executed is now the site of a Roman Catholic church.	good	good	good	good
The school was founded in 1943 in the precincts of Westminster School in Little Dean's Yard, just behind Westminster Abbey.	The school was founded in 1943 in the ballots of Westminster School in Little Dean's Yard, just behind Westminster Abbey.	good	ok	ok	ok
The school was founded in 1943 in the precincts of Westminster School in Little Dean's Yard, just behind Westminster Abbey.	The school was founded in 1943 in the buildings of Westminster School in Little Dean's Yard, just behind Westminster Abbey.	good	good	good	good
The school was founded in 1943 in the precincts of Westminster School in Little Dean's Yard, just behind Westminster Abbey.	The school was founded in 1943 in the precincts of Westminster School in Little Dean's Yard, just behind Westminster Abbey.	good	ok	good	ok
